Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
1,55.0,Male,Blouse,clothin,53.0,,L,Gray,Winter,3.1,Yes,Express,Yes,Yes,14.0,Venmo,Fortnightly
2,19.0,Male,Sweater,clothin,64.0,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,Yes,2.0,Cash,Fortnightly
3,50.0,Male,Jeans,clothin,73.0,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,23.0,CC,Weekly
4,21.0,,Sandals,Foot-wear,,  Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,Yes,49.0,pay pal,Weekly
5,45.0,male,Blouse,,49.0,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,Yes,31.0,pay pal,Annually
6,46.0,Male,Sneakers,Foot-wear,20.0,Wyoming,M,White,Summer,2.9,Yes,Standard,Yes,Yes,14.0,Venmo,Weekly
7,63.0,,Shirt,clothin,85.0,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,Yes,49.0,Cash,Quarterly
8,27.0,male,Shorts,clothin,34.0,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,Yes,19.0,CC,Weekly
9,26.0,Male,Coat,Outerwear,97.0,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,Yes,8.0,Venmo,Annually
10,57.0,Male,Handbag,Accessories,31.0,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,4.0,Cash,Quarterly
11,53.0,Male,Shoes,Foot-wear,34.0,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,26.0,Bank Transfer,Bi-Weekly
12,30.0,Male,Shorts,clothin,68.0,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,Yes,10.0,Bank Transfer,Fortnightly
13,61.0,Male,Coat,Outerwear,72.0,Delaware,M,Gold,Winter,4.5,Yes,Express,Yes,Yes,37.0,Venmo,Fortnightly
14,65.0,male,Dress,clothin,51.0,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,Yes,31.0,pay pal,Weekly
15,64.0,M,Coat,Outerwear,53.0,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,Yes,34.0,Debit Card,Weekly
16,64.0,male,Skirt,clothin,81.0,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,Yes,8.0,pay pal,Monthly
17,25.0,Male,Sunglasses,Accessories,36.0,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,Yes,44.0,Debit Card,Bi-Weekly
18,53.0,Male,Dress,clothin,38.0,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,36.0,Venmo,Quarterly
19,52.0,Male,Sweater,clothin,48.0,Montana,S,Black,Summer,4.6,Yes,Free Shipping,Yes,Yes,17.0,Cash,Weekly
20,66.0,Male,Pants,clothin,90.0,Rhode Island,M,Green,Summer,3.3,Yes,Standard,Yes,Yes,46.0,Debit Card,Bi-Weekly
21,21.0,male,Pants,clothin,51.0,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,Yes,50.0,Cash,Every 3 Months
22,31.0,Male,Pants,clothin,62.0,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,Yes,22.0,Debit Card,Quarterly
23,56.0,Male,Pants,clothin,37.0,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,Yes,32.0,Debit Card,Annually
24,31.0,Male,Pants,clothin,88.0,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,Yes,40.0,CC,Weekly
25,18.0,Male,Jacket,Outerwear,22.0,  Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,Yes,16.0,Debit Card,Weekly
26,18.0,Male,Hoodie,,25.0,  Texas,M,Silver,Summer,3.6,Yes,Express,Yes,Yes,14.0,pay pal,Annually
27,38.0,Male,Jewelry,,20.0,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,Yes,13.0,CC,Annually
28,56.0,Male,Shorts,clothin,,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,Yes,Yes,7.0,Bank Transfer,Every 3 Months
29,54.0,Male,Handbag,Accessories,,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,,pay pal,Every 3 Months
30,31.0,M,Dress,clothin,48.0,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,14.0,CC,Weekly
31,57.0,Male,Jewelry,Accessories,31.0,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,Yes,16.0,CC,Monthly
32,33.0,Male,Dress,clothin,79.0,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,45.0,Venmo,Monthly
33,36.0,Male,Jacket,Outerwear,67.0,,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,Yes,37.0,Venmo,Annually
34,54.0,Male,Pants,clothin,38.0,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,Yes,45.0,Cash,Quarterly
35,36.0,Male,T-shirt,clothin,91.0,,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,38.0,pay pal,Quarterly
36,54.0,M,Blouse,clothin,33.0,Massachusetts,M,Cyan,Summer,4.0,Yes,2-Day Shipping,Yes,Yes,48.0,CC,Bi-Weekly
37,35.0,Male,T-shirt,clothin,69.0,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,44.0,pay pal,Fortnightly
38,35.0,Male,Jeans,clothin,45.0,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,10.0,pay pal,Weekly
39,29.0,Male,Dress,clothin,37.0,Florida,M,Red,Winter,,Yes,2-Day Shipping,Yes,Yes,44.0,Venmo,Every 3 Months
40,70.0,male,Pants,clothin,60.0,  Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,18.0,CC,Monthly
41,69.0,Male,Handbag,Accessories,76.0,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,Yes,31.0,Debit Card,Quarterly
42,67.0,Male,Scarf,Accessories,39.0,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,Yes,40.0,Venmo,Annually
43,20.0,Male,Coat,Outerwear,100.0,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,Yes,,pay pal,Annually
44,25.0,Male,Scarf,Accessories,69.0,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,Yes,19.0,pay pal,Fortnightly
45,39.0,Male,Hat,Accessories,53.0,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,Yes,45.0,pay pal,Weekly
46,50.0,Male,Socks,clothin,,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,25.0,pay pal,Annually
47,57.0,Male,Shirt,clothin,43.0,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,Yes,,Cash,Quarterly
48,55.0,Male,Jewelry,Accessories,,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,Yes,36.0,Cash,Weekly
49,42.0,male,Shirt,clothin,55.0,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,Yes,38.0,Cash,Monthly
50,,Male,Hoodie,clothin,30.0,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,Yes,34.0,Debit Card,Bi-Weekly
51,49.0,Male,Blouse,clothin,28.0,  Maryland,M,Red,Spring,,Yes,Store Pickup,Yes,Yes,,Debit Card,Bi-Weekly
52,59.0,male,Skirt,clothin,59.0,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,7.0,CC,Quarterly
53,42.0,M,T-shirt,clothin,20.0,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,Yes,26.0,CC,Weekly
54,29.0,Male,Skirt,clothin,24.0,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,Yes,35.0,CC,Weekly
55,47.0,male,Coat,Outerwear,94.0,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,Yes,,Debit Card,Bi-Weekly
56,40.0,Male,Jacket,Outerwear,28.0,  South Carolina,M,Lavender,Winter,3.0,Yes,2-Day Shipping,Yes,Yes,49.0,CC,Annually
57,41.0,male,Backpack,,73.0,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,Yes,46.0,CC,Weekly
58,21.0,male,Coat,Outerwear,64.0,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,Yes,Yes,17.0,Debit Card,Fortnightly
59,69.0,M,Hoodie,clothin,54.0,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,Yes,29.0,Venmo,Monthly
60,,Male,Belt,,79.0,  Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,Yes,4.0,Debit Card,Weekly
61,50.0,Male,Sweater,clothin,37.0,Idaho,L,Brown,Summer,4.0,Yes,Express,Yes,Yes,17.0,Cash,Weekly
62,55.0,Male,Scarf,Accessories,68.0,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,Yes,21.0,CC,Every 3 Months
63,30.0,Male,Sneakers,Foot-wear,21.0,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,Yes,31.0,CC,Fortnightly
64,33.0,Male,Sunglasses,Accessories,79.0,,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,Yes,43.0,CC,Weekly
65,65.0,,Boots,Foot-wear,83.0,Alabama,S,Green,Fall,4.8,Yes,Standard,Yes,Yes,18.0,Debit Card,Fortnightly
66,65.0,Male,Backpack,Accessories,36.0,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44.0,Venmo,Every 3 Months
67,31.0,Male,Blouse,clothin,94.0,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,3.0,Venmo,Every 3 Months
68,45.0,Male,Coat,Outerwear,33.0,  Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,Yes,49.0,Debit Card,Monthly
69,57.0,male,Handbag,Accessories,46.0,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,Yes,21.0,Cash,Every 3 Months
70,48.0,Male,Belt,Accessories,70.0,,S,Cyan,Summer,4.4,Yes,Express,Yes,Yes,5.0,Cash,Weekly
71,22.0,M,Belt,Accessories,29.0,Alabama,M,Magenta,Fall,4.2,Yes,Express,Yes,Yes,32.0,Debit Card,Every 3 Months
72,36.0,Male,Dress,clothin,48.0,Virginia,L,Gold,Summer,2.9,Yes,Express,Yes,Yes,34.0,Bank Transfer,Annually
73,18.0,Male,Dress,clothin,26.0,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,Yes,21.0,Bank Transfer,Every 3 Months
74,48.0,male,Pants,clothin,85.0,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,Yes,43.0,Bank Transfer,Bi-Weekly
75,49.0,Male,Gloves,Accessories,58.0,Indiana,L,Violet,Spring,4.5,Yes,Express,Yes,Yes,3.0,Cash,Monthly
76,64.0,Male,Scarf,Accessories,85.0,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,Yes,21.0,CC,Annually
77,50.0,M,Hat,Accessories,43.0,  Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,Yes,32.0,Venmo,Monthly
78,22.0,Male,Dress,clothin,53.0,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,Yes,36.0,Debit Card,Fortnightly
79,50.0,Male,Skirt,clothin,91.0,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,Yes,50.0,Venmo,Fortnightly
80,38.0,male,Jacket,Outerwear,96.0,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,43.0,Bank Transfer,Every 3 Months
81,19.0,male,Sandals,Foot-wear,72.0,New York,XL,Blue,Summer,,Yes,Store Pickup,Yes,Yes,,CC,Every 3 Months
82,67.0,Male,Shoes,Foot-wear,96.0,Virginia,L,Maroon,Summer,2.6,Yes,Express,Yes,Yes,36.0,CC,Every 3 Months
83,19.0,M,Pants,clothin,28.0,Georgia,S,Olive,Spring,4.0,Yes,2-Day Shipping,Yes,Yes,21.0,CC,Every 3 Months
84,36.0,Male,Dress,clothin,40.0,Texas,M,Turquoise,Summer,4.1,Yes,Standard,Yes,Yes,34.0,Bank Transfer,Weekly
85,52.0,Male,Coat,Outerwear,32.0,Arizona,S,Peach,Spring,4.4,Yes,Standard,Yes,Yes,42.0,Bank Transfer,Every 3 Months
86,,Male,Sunglasses,Accessories,95.0,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,Yes,2.0,Debit Card,Bi-Weekly
87,24.0,Male,Hoodie,clothin,41.0,Nevada,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,47.0,Cash,Bi-Weekly
88,52.0,male,Shoes,Foot-wear,53.0,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,44.0,Debit Card,Fortnightly
89,33.0,Male,T-shirt,clothin,47.0,Wyoming,M,Orange,Fall,3.5,Yes,Free Shipping,Yes,Yes,35.0,CC,Monthly
90,47.0,Male,Jacket,Outerwear,83.0,California,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,Yes,15.0,Cash,Quarterly
